onset	duration	sample	value
19.3828125000	n/a	4962	ignore
20.0195312500	n/a	5125	response_large_H
21.0859375000	n/a	5398	large_T_small_H
21.7656250000	n/a	5572	response_large_T
22.8320312500	n/a	5845	ignore
23.2734375000	n/a	5958	response_large_H
24.3398437500	n/a	6231	large_T_small_H
24.8046875000	n/a	6350	response_large_T
25.8710937500	n/a	6623	large_H_small_T
26.3828125000	n/a	6754	response_large_T
27.4453125000	n/a	7026	large_T_small_T
28.0507812500	n/a	7181	response_large_T
29.1132812500	n/a	7453	large_T_small_H
29.7421875000	n/a	7614	response_large_T
30.8046875000	n/a	7886	large_T_small_T
31.2851562500	n/a	8009	response_large_T
32.3515625000	n/a	8282	ignore
32.6953125000	n/a	8370	response_large_H
33.7656250000	n/a	8644	large_T_small_T
34.2734375000	n/a	8774	response_large_T
35.3398437500	n/a	9047	ignore
35.8046875000	n/a	9166	response_large_H
36.8710937500	n/a	9439	large_T_small_T
37.3046875000	n/a	9550	response_large_T
38.3671875000	n/a	9822	ignore
38.7460937500	n/a	9919	response_large_H
39.8203125000	n/a	10194	ignore
40.3828125000	n/a	10338	response_large_H
41.4453125000	n/a	10610	ignore
41.8671875000	n/a	10718	response_large_H
42.9257812500	n/a	10989	ignore
43.2851562500	n/a	11081	response_large_H
44.3671875000	n/a	11358	large_T_small_T
44.8125000000	n/a	11472	response_large_T
45.8867187500	n/a	11747	large_H_small_T
46.6992187500	n/a	11955	response_large_H
47.7656250000	n/a	12228	large_T_small_H
48.3789062500	n/a	12385	response_large_T
49.4453125000	n/a	12658	large_T_small_T
49.8320312500	n/a	12757	response_large_T
50.8984375000	n/a	13030	large_T_small_H
51.2851562500	n/a	13129	response_large_T
52.3515625000	n/a	13402	large_T_small_H
52.7382812500	n/a	13501	response_large_T
53.7929687500	n/a	13771	large_T_small_T
54.2226562500	n/a	13881	response_large_T
55.2968750000	n/a	14156	ignore
55.6796875000	n/a	14254	response_large_H
56.7539062500	n/a	14529	large_H_small_T
57.2460937500	n/a	14655	response_large_H
58.3125000000	n/a	14928	large_T_small_H
58.8242187500	n/a	15059	response_large_T
59.8984375000	n/a	15334	large_T_small_T
60.3554687500	n/a	15451	response_large_T
61.4335937500	n/a	15727	large_T_small_H
61.9609375000	n/a	15862	response_large_T
63.0312500000	n/a	16136	ignore
63.3906250000	n/a	16228	response_large_H
64.4570312500	n/a	16501	ignore
64.8867187500	n/a	16611	response_large_H
65.9531250000	n/a	16884	ignore
66.3085937500	n/a	16975	response_large_H
67.3789062500	n/a	17249	large_T_small_T
67.8203125000	n/a	17362	response_large_T
68.8867187500	n/a	17635	large_T_small_H
69.2773437500	n/a	17735	response_large_T
70.3515625000	n/a	18010	large_T_small_H
70.7500000000	n/a	18112	response_large_T
71.8164062500	n/a	18385	large_T_small_T
72.2226562500	n/a	18489	response_large_T
73.2968750000	n/a	18764	large_H_small_T
73.6992187500	n/a	18867	response_large_H
74.7656250000	n/a	19140	ignore
75.1015625000	n/a	19226	response_large_H
76.1640625000	n/a	19498	large_T_small_T
76.6796875000	n/a	19630	response_large_T
77.7500000000	n/a	19904	large_T_small_T
78.2031250000	n/a	20020	response_large_T
79.2734375000	n/a	20294	large_T_small_T
79.6523437500	n/a	20391	response_large_T
80.7265625000	n/a	20666	large_T_small_T
81.1679687500	n/a	20779	response_large_T
82.2304687500	n/a	21051	large_H_small_T
82.7382812500	n/a	21181	response_large_H
83.8164062500	n/a	21457	large_T_small_H
84.2187500000	n/a	21560	response_large_T
85.2851562500	n/a	21833	large_T_small_H
85.6640625000	n/a	21930	response_large_T
86.7226562500	n/a	22201	ignore
87.2343750000	n/a	22332	response_large_H
88.3125000000	n/a	22608	ignore
88.7460937500	n/a	22719	response_large_H
89.8164062500	n/a	22993	large_T_small_H
90.2851562500	n/a	23113	response_large_T
91.3515625000	n/a	23386	large_T_small_H
91.7539062500	n/a	23489	response_large_T
92.8320312500	n/a	23765	ignore
93.3085937500	n/a	23887	response_large_H
94.3789062500	n/a	24161	ignore
94.7578125000	n/a	24258	response_large_H
95.8164062500	n/a	24529	large_T_small_H
96.2695312500	n/a	24645	response_large_T
97.3359375000	n/a	24918	large_T_small_T
97.7656250000	n/a	25028	response_large_T
98.8320312500	n/a	25301	large_T_small_H
99.3320312500	n/a	25429	response_large_T
100.3906250000	n/a	25700	ignore
100.7773437500	n/a	25799	response_large_H
101.8437500000	n/a	26072	large_T_small_H
102.2773437500	n/a	26183	response_large_T
103.3359375000	n/a	26454	large_H_small_T
103.7656250000	n/a	26564	response_large_H
104.8164062500	n/a	26833	large_T_small_T
105.2343750000	n/a	26940	response_large_T
106.2968750000	n/a	27212	large_H_small_T
106.6992187500	n/a	27315	response_large_H
107.7656250000	n/a	27588	large_T_small_T
108.2617187500	n/a	27715	response_large_T
109.3359375000	n/a	27990	ignore
109.7304687500	n/a	28091	response_large_H
110.8046875000	n/a	28366	large_H_small_T
111.1914062500	n/a	28465	response_large_T
112.2695312500	n/a	28741	ignore
112.7148437500	n/a	28855	response_large_H
113.7773437500	n/a	29127	large_T_small_T
114.2304687500	n/a	29243	response_large_T
115.2968750000	n/a	29516	large_T_small_H
116.0312500000	n/a	29704	response_large_T
117.0976562500	n/a	29977	ignore
117.5664062500	n/a	30097	response_large_H
118.6289062500	n/a	30369	large_T_small_H
119.0976562500	n/a	30489	response_large_T
120.1640625000	n/a	30762	large_T_small_H
120.6562500000	n/a	30888	response_large_T
121.7226562500	n/a	31161	large_T_small_H
122.1601562500	n/a	31273	response_large_T
123.2304687500	n/a	31547	large_T_small_H
123.7226562500	n/a	31673	response_large_T
124.7890625000	n/a	31946	large_T_small_T
125.2265625000	n/a	32058	response_large_T
126.2968750000	n/a	32332	large_T_small_H
126.7773437500	n/a	32455	response_large_T
127.8554687500	n/a	32731	large_H_small_T
128.2929687500	n/a	32843	response_large_H
129.3632812500	n/a	33117	large_T_small_T
129.8242187500	n/a	33235	response_large_T
130.8984375000	n/a	33510	large_T_small_T
131.3671875000	n/a	33630	response_large_T
132.4414062500	n/a	33905	ignore
133.0234375000	n/a	34054	response_large_H
134.0976562500	n/a	34329	large_H_small_T
134.5585937500	n/a	34447	response_large_H
135.6171875000	n/a	34718	large_T_small_H
136.2812500000	n/a	34888	response_large_T
137.3515625000	n/a	35162	large_T_small_T
137.8945312500	n/a	35301	response_large_T
138.9648437500	n/a	35575	large_H_small_T
139.4296875000	n/a	35694	response_large_H
140.4960937500	n/a	35967	large_T_small_T
140.8984375000	n/a	36070	response_large_T
141.9648437500	n/a	36343	large_T_small_T
142.3476562500	n/a	36441	response_large_T
143.4179687500	n/a	36715	ignore
143.8242187500	n/a	36819	response_large_H
144.8828125000	n/a	37090	large_T_small_T
145.3125000000	n/a	37200	response_large_T
146.3906250000	n/a	37476	large_T_small_H
146.8242187500	n/a	37587	response_large_T
147.8945312500	n/a	37861	large_T_small_H
148.3125000000	n/a	37968	response_large_T
149.3750000000	n/a	38240	large_H_small_T
149.7539062500	n/a	38337	response_large_H
150.8164062500	n/a	38609	large_T_small_T
151.2734375000	n/a	38726	response_large_T
152.3515625000	n/a	39002	large_T_small_T
152.7968750000	n/a	39116	response_large_T
153.8554687500	n/a	39387	large_T_small_H
154.5039062500	n/a	39553	response_large_T
155.5742187500	n/a	39827	ignore
156.0195312500	n/a	39941	response_large_H
157.0820312500	n/a	40213	large_H_small_T
157.6015625000	n/a	40346	response_large_H
158.6835937500	n/a	40623	large_H_small_T
159.0898437500	n/a	40727	response_large_H
160.1640625000	n/a	41002	large_H_small_T
160.5742187500	n/a	41107	response_large_H
161.6445312500	n/a	41381	ignore
