onset	duration	sample	value	stimulus	response_type	response_time
23.58203125	n/a	6037	B	nontarget	n/a	n/a
25.15234375	n/a	6439	A	nontarget	n/a	n/a
26.7265625	n/a	6842	D	nontarget	n/a	n/a
28.30078125	n/a	7245	D	nontarget	n/a	n/a
29.875	n/a	7648	D	target	hit	574.2188
30.44921875	n/a	7795	rt	n/a	hit	574.2188
31.44921875	n/a	8051	A	nontarget	n/a	n/a
33.01953125	n/a	8453	D	target	hit	875
33.89453125	n/a	8677	rt	n/a	hit	875
34.59375	n/a	8856	D	nontarget	n/a	n/a
36.1640625	n/a	9258	B	nontarget	n/a	n/a
37.7421875	n/a	9662	D	target	hit	781.25
38.5234375	n/a	9862	rt	n/a	hit	781.25
39.32421875	n/a	10067	A	nontarget	n/a	n/a
40.8984375	n/a	10470	A	nontarget	false_alarm	914.0625
41.8125	n/a	10704	rt	n/a	false_alarm	914.0625
42.4765625	n/a	10874	C	nontarget	n/a	n/a
44.046875	n/a	11276	A	target	miss	n/a
45.62109375	n/a	11679	D	nontarget	miss	n/a
47.20703125	n/a	12085	B	nontarget	n/a	n/a
48.78125	n/a	12488	A	nontarget	n/a	n/a
50.3515625	n/a	12890	C	nontarget	n/a	n/a
51.92578125	n/a	13293	B	nontarget	n/a	n/a
53.5	n/a	13696	D	nontarget	n/a	n/a
55.07421875	n/a	14099	C	nontarget	false_alarm	906.25
55.98046875	n/a	14331	rt	n/a	false_alarm	906.25
56.66015625	n/a	14505	D	target	hit	949.2188
57.609375	n/a	14748	rt	n/a	hit	949.2188
58.23046875	n/a	14907	C	target	miss	n/a
59.80859375	n/a	15311	B	nontarget	miss	n/a
61.37890625	n/a	15713	B	nontarget	n/a	n/a
62.953125	n/a	16116	D	nontarget	n/a	n/a
64.5234375	n/a	16518	D	nontarget	n/a	n/a
66.0859375	n/a	16918	A	nontarget	n/a	n/a
67.671875	n/a	17324	C	nontarget	n/a	n/a
69.24609375	n/a	17727	B	nontarget	n/a	n/a
70.81640625	n/a	18129	D	nontarget	n/a	n/a
