onset	duration	sample	value	response_type	congruence	response_time	response_out_of_range	largeletter	smallletter
5.3671875	n/a	1374	largeHSmallH	correct	congruent	0.65234	no	H	H
6.01953125	n/a	1541	responseLargeH	correct	n/a	0.65234	no	n/a	n/a
7.09765625	n/a	1817	largeTSmallH	correct	incongruent	0.80859	no	T	H
7.90625	n/a	2024	responseLargeT	correct	n/a	0.80859	no	n/a	n/a
8.9765625	n/a	2298	largeTSmallT	correct	congruent	0.66406	no	T	T
9.640625	n/a	2468	responseLargeT	correct	n/a	0.66406	no	n/a	n/a
10.7109375	n/a	2742	largeHSmallH	correct	congruent	0.53516	no	H	H
11.24609375	n/a	2879	responseLargeH	correct	n/a	0.53516	no	n/a	n/a
12.32421875	n/a	3155	largeHSmallH	correct	congruent	0.62109	no	H	H
12.9453125	n/a	3314	responseLargeH	correct	n/a	0.62109	no	n/a	n/a
14.015625	n/a	3588	largeHSmallH	correct	congruent	0.55859	no	H	H
14.57421875	n/a	3731	responseLargeH	correct	n/a	0.55859	no	n/a	n/a
15.64453125	n/a	4005	largeHSmallH	correct	congruent	0.55469	no	H	H
16.19921875	n/a	4147	responseLargeH	correct	n/a	0.55469	no	n/a	n/a
17.2578125	n/a	4418	largeTSmallH	correct	incongruent	0.65234	no	T	H
17.91015625	n/a	4585	responseLargeT	correct	n/a	0.65234	no	n/a	n/a
18.9765625	n/a	4858	largeHSmallT	correct	incongruent	0.8125	no	H	T
19.7890625	n/a	5066	responseLargeH	correct	n/a	0.8125	no	n/a	n/a
20.85546875	n/a	5339	largeTSmallT	correct	congruent	0.64062	no	T	T
21.49609375	n/a	5503	responseLargeT	correct	n/a	0.64062	no	n/a	n/a
22.5625	n/a	5776	largeHSmallT	correct	incongruent	0.66406	no	H	T
23.2265625	n/a	5946	responseLargeH	correct	n/a	0.66406	no	n/a	n/a
24.296875	n/a	6220	largeHSmallH	correct	congruent	0.62891	no	H	H
24.92578125	n/a	6381	responseLargeH	correct	n/a	0.62891	no	n/a	n/a
25.9765625	n/a	6650	largeHSmallT	correct	incongruent	0.70703	no	H	T
26.68359375	n/a	6831	responseLargeH	correct	n/a	0.70703	no	n/a	n/a
27.75	n/a	7104	largeHSmallT	correct	incongruent	0.48438	no	H	T
28.234375	n/a	7228	responseLargeH	correct	n/a	0.48438	no	n/a	n/a
29.30859375	n/a	7503	largeHSmallH	correct	congruent	0.49219	no	H	H
29.80078125	n/a	7629	responseLargeH	correct	n/a	0.49219	no	n/a	n/a
30.87109375	n/a	7903	largeHSmallT	correct	incongruent	0.55078	no	H	T
31.421875	n/a	8044	responseLargeH	correct	n/a	0.55078	no	n/a	n/a
32.484375	n/a	8316	largeTSmallT	correct	congruent	0.48438	no	T	T
32.96875	n/a	8440	responseLargeT	correct	n/a	0.48438	no	n/a	n/a
34.03125	n/a	8712	largeTSmallH	correct	incongruent	0.56641	no	T	H
34.59765625	n/a	8857	responseLargeT	correct	n/a	0.56641	no	n/a	n/a
35.66796875	n/a	9131	largeHSmallH	correct	congruent	0.61328	no	H	H
36.28125	n/a	9288	responseLargeH	correct	n/a	0.61328	no	n/a	n/a
37.3515625	n/a	9562	largeTSmallT	correct	congruent	0.58203	no	T	T
37.93359375	n/a	9711	responseLargeT	correct	n/a	0.58203	no	n/a	n/a
38.98828125	n/a	9981	largeTSmallT	correct	congruent	0.57812	no	T	T
39.56640625	n/a	10129	responseLargeT	correct	n/a	0.57812	no	n/a	n/a
40.62890625	n/a	10401	largeHSmallT	correct	incongruent	0.85938	no	H	T
41.48828125	n/a	10621	responseLargeH	correct	n/a	0.85938	no	n/a	n/a
42.55078125	n/a	10893	largeTSmallH	correct	incongruent	0.66797	no	T	H
43.21875	n/a	11064	responseLargeT	correct	n/a	0.66797	no	n/a	n/a
44.28125	n/a	11336	largeHSmallH	correct	congruent	0.54688	no	H	H
44.828125	n/a	11476	responseLargeH	correct	n/a	0.54688	no	n/a	n/a
45.8828125	n/a	11746	largeTSmallH	correct	incongruent	0.52344	no	T	H
46.40625	n/a	11880	responseLargeT	correct	n/a	0.52344	no	n/a	n/a
47.46875	n/a	12152	largeHSmallT	correct	incongruent	0.49609	no	H	T
47.96484375	n/a	12279	responseLargeH	correct	n/a	0.49609	no	n/a	n/a
49.04296875	n/a	12555	largeHSmallT	correct	incongruent	0.4375	no	H	T
49.48046875	n/a	12667	responseLargeH	correct	n/a	0.4375	no	n/a	n/a
50.55078125	n/a	12941	largeTSmallH	correct	incongruent	0.52734	no	T	H
51.078125	n/a	13076	responseLargeT	correct	n/a	0.52734	no	n/a	n/a
52.1484375	n/a	13350	largeHSmallT	correct	incongruent	0.46094	no	H	T
52.609375	n/a	13468	responseLargeH	correct	n/a	0.46094	no	n/a	n/a
53.66796875	n/a	13739	largeHSmallT	correct	incongruent	0.52734	no	H	T
54.1953125	n/a	13874	responseLargeH	correct	n/a	0.52734	no	n/a	n/a
55.26953125	n/a	14149	largeTSmallT	correct	congruent	0.47656	no	T	T
55.74609375	n/a	14271	responseLargeT	correct	n/a	0.47656	no	n/a	n/a
56.81640625	n/a	14545	largeTSmallH	correct	incongruent	0.57031	no	T	H
57.38671875	n/a	14691	responseLargeT	correct	n/a	0.57031	no	n/a	n/a
58.44140625	n/a	14961	largeTSmallH	correct	incongruent	0.51562	no	T	H
58.95703125	n/a	15093	responseLargeT	correct	n/a	0.51562	no	n/a	n/a
