onset	duration	sample	value	stimulus	response_type	response_time
16.89453125	n/a	4325	D	nontarget	n/a	n/a
18.4609375	n/a	4726	A	nontarget	n/a	n/a
20.01953125	n/a	5125	A	nontarget	n/a	n/a
21.58203125	n/a	5525	A	nontarget	n/a	n/a
23.140625	n/a	5924	A	target	hit	125
23.265625	n/a	5956	rt	n/a	hit	125
24.703125	n/a	6324	D	nontarget	n/a	n/a
26.2734375	n/a	6726	A	target	hit	1062.5
27.3359375	n/a	6998	rt	n/a	hit	1062.5
27.84765625	n/a	7129	B	nontarget	n/a	n/a
29.421875	n/a	7532	B	nontarget	n/a	n/a
30.99609375	n/a	7935	D	nontarget	n/a	n/a
32.56640625	n/a	8337	A	nontarget	n/a	n/a
34.140625	n/a	8740	B	target	miss	n/a
35.71484375	n/a	9143	A	nontarget	miss	n/a
37.27734375	n/a	9543	A	target	hit	675.7812
37.953125	n/a	9716	rt	n/a	hit	675.7812
38.859375	n/a	9948	D	nontarget	n/a	n/a
40.43359375	n/a	10351	B	nontarget	n/a	n/a
42.0078125	n/a	10754	C	nontarget	n/a	n/a
43.58203125	n/a	11157	A	nontarget	n/a	n/a
45.15234375	n/a	11559	A	nontarget	n/a	n/a
46.73046875	n/a	11963	C	target	miss	n/a
48.3125	n/a	12368	A	target	miss	n/a
49.890625	n/a	12772	D	nontarget	miss	n/a
51.4609375	n/a	13174	A	nontarget	n/a	n/a
53.03515625	n/a	13577	A	target	hit	1246.0938
54.28125	n/a	13896	rt	n/a	hit	1246.0938
54.60546875	n/a	13979	C	nontarget	n/a	n/a
56.16796875	n/a	14379	D	nontarget	n/a	n/a
57.73828125	n/a	14781	A	target	miss	n/a
59.30078125	n/a	15181	D	nontarget	miss	n/a
60.875	n/a	15584	D	target	miss	n/a
62.44921875	n/a	15987	A	target	hit	468.75
62.91796875	n/a	16107	rt	n/a	hit	468.75
64.01953125	n/a	16389	A	nontarget	n/a	n/a
65.59375	n/a	16792	D	target	hit	683.5938
66.27734375	n/a	16967	rt	n/a	hit	683.5938
67.1640625	n/a	17194	B	nontarget	n/a	n/a
68.7421875	n/a	17598	C	nontarget	n/a	n/a
70.3125	n/a	18000	C	nontarget	n/a	n/a
71.88671875	n/a	18403	D	nontarget	n/a	n/a
73.4609375	n/a	18806	A	nontarget	n/a	n/a
75.03515625	n/a	19209	D	nontarget	false_alarm	472.6562
75.5078125	n/a	19330	rt	n/a	false_alarm	472.6562
76.60546875	n/a	19611	D	target	miss	n/a
78.1796875	n/a	20014	D	nontarget	miss	n/a
79.75390625	n/a	20417	C	nontarget	n/a	n/a
81.3125	n/a	20816	A	nontarget	n/a	n/a
82.875	n/a	21216	D	target	hit	593.75
83.46875	n/a	21368	rt	n/a	hit	593.75
84.4453125	n/a	21618	C	target	hit	753.9062
85.19921875	n/a	21811	rt	n/a	hit	753.9062
86.01953125	n/a	22021	A	target	hit	468.75
86.48828125	n/a	22141	rt	n/a	hit	468.75
87.59375	n/a	22424	D	target	hit	425.7812
88.01953125	n/a	22533	rt	n/a	hit	425.7812
89.1640625	n/a	22826	C	target	miss	n/a
90.73828125	n/a	23229	D	nontarget	miss	n/a
92.3125	n/a	23632	B	nontarget	n/a	n/a
93.8984375	n/a	24038	D	nontarget	n/a	n/a
